ADMISSION_DATE1, TESTEDIN , Average7 
2020-03-01,5,
2020-03-02,11,
2020-03-03,13,
2020-03-04,11,
2020-03-05,18,
2020-03-06,21,
2020-03-07,9,12.57
2020-03-08,11,13.43
2020-03-09,19,14.57
2020-03-10,30,17
2020-03-11,27,19.29
2020-03-12,24,20.14
2020-03-13,24,20.57
2020-03-14,22,22.43
2020-03-15,17,23.29
2020-03-16,30,24.86
2020-03-17,41,26.43
2020-03-18,43,28.71
2020-03-19,42,31.29
2020-03-20,72,38.14
2020-03-21,63,44
2020-03-22,52,49
2020-03-23,95,58.29
2020-03-24,98,66.43
2020-03-25,122,77.71
2020-03-26,155,93.86
2020-03-27,146,104.43
2020-03-28,156,117.71
2020-03-29,137,129.86
2020-03-30,189,143.29
2020-03-31,183,155.43
2020-04-01,213,168.43
2020-04-02,167,170.14
2020-04-03,211,179.43
2020-04-04,153,179
2020-04-05,160,182.29
2020-04-06,203,184.29
2020-04-07,171,182.57
2020-04-08,156,174.43
2020-04-09,131,169.29
2020-04-10,116,155.71
2020-04-11,79,145.14
2020-04-12,85,134.43
2020-04-13,102,120
2020-04-14,101,110
2020-04-15,98,101.71
2020-04-16,97,96.86
2020-04-17,109,95.86
2020-04-18,74,95.14
2020-04-19,57,91.14
2020-04-20,67,86.14
2020-04-21,70,81.71
2020-04-22,64,76.86
2020-04-23,66,72.43
2020-04-24,91,69.86
2020-04-25,43,65.43
2020-04-26,39,62.86
2020-04-27,76,64.14
2020-04-28,71,64.29
2020-04-29,47,61.86
2020-04-30,56,60.43
2020-05-01,55,55.29
2020-05-02,46,55.71
2020-05-03,39,55.71
2020-05-04,52,52.29
2020-05-05,40,47.86
2020-05-06,46,47.71
2020-05-07,36,44.86
2020-05-08,32,41.57
2020-05-09,20,37.86
2020-05-10,26,36
2020-05-11,32,33.14
2020-05-12,37,32.71
2020-05-13,26,29.86
2020-05-14,27,28.57
2020-05-15,31,28.43
2020-05-16,18,28.14
2020-05-17,9,25.71
2020-05-18,27,25
2020-05-19,12,21.43
2020-05-20,18,20.29
2020-05-21,13,18.29
2020-05-22,15,16
2020-05-23,14,15.43
2020-05-24,8,15.29
2020-05-25,13,13.29
2020-05-26,14,13.57
2020-05-27,10,12.43
2020-05-28,6,11.43
2020-05-29,10,10.71
2020-05-30,3,9.14
2020-05-31,10,9.43
2020-06-01,7,8.57
2020-06-02,4,7.14
2020-06-03,7,6.71
2020-06-04,6,6.71
2020-06-05,10,6.71
2020-06-06,5,7
2020-06-07,6,6.43
2020-06-08,3,5.86
2020-06-09,4,5.86
2020-06-10,7,5.86
2020-06-11,6,5.86
2020-06-12,1,4.57
2020-06-13,4,4.43
2020-06-14,6,4.43
2020-06-15,6,4.86
2020-06-16,4,4.86
2020-06-17,5,4.57
2020-06-18,2,4
2020-06-19,4,4.43
2020-06-20,2,4.14
2020-06-21,1,3.43
2020-06-22,4,3.14
2020-06-23,4,3.14
2020-06-24,2,2.71
2020-06-25,2,2.71
2020-06-26,0,2.14
2020-06-27,3,2.29
2020-06-28,2,2.43
2020-06-29,1,2
2020-06-30,0,1.43
2020-07-01,2,1.43
2020-07-02,0,1.14
2020-07-03,1,1.29
2020-07-04,1,1
2020-07-05,1,0.86
2020-07-06,2,1
2020-07-07,1,1.14
2020-07-08,0,0.86
2020-07-09,0,0.86
2020-07-10,2,1
2020-07-11,2,1.14
2020-07-12,1,1.14
2020-07-13,0,0.86
2020-07-14,0,0.71
2020-07-15,0,0.71
2020-07-16,1,0.86
2020-07-17,0,0.57
2020-07-18,0,0.29
2020-07-19,2,0.43
2020-07-20,0,0.43
2020-07-21,0,0.43
2020-07-22,1,0.57
2020-07-23,0,0.43
2020-07-24,0,0.43
2020-07-25,3,0.86
2020-07-26,0,0.57
2020-07-27,1,0.71
2020-07-28,0,0.71
2020-07-29,2,0.86
2020-07-30,0,0.86
2020-07-31,0,0.86
2020-08-01,1,0.57
2020-08-02,0,0.57
2020-08-03,0,0.43
2020-08-04,1,0.57
2020-08-05,3,0.71
2020-08-06,0,0.71
2020-08-07,1,0.86
2020-08-08,0,0.71
2020-08-09,0,0.71
2020-08-10,3,1.14
2020-08-11,1,1.14
2020-08-12,0,0.71
2020-08-13,1,0.86
2020-08-14,3,1.14
2020-08-15,4,1.71
2020-08-16,1,1.86
2020-08-17,2,1.71
2020-08-18,1,1.71
2020-08-19,2,2
2020-08-20,4,2.43
2020-08-21,2,2.29
2020-08-22,2,2
2020-08-23,0,1.86
2020-08-24,3,2
2020-08-25,5,2.57
2020-08-26,3,2.71
2020-08-27,3,2.57
2020-08-28,4,2.86
2020-08-29,2,2.86
2020-08-30,2,3.14
2020-08-31,3,3.14
2020-09-01,1,2.57
2020-09-02,3,2.57
2020-09-03,1,2.29
2020-09-04,8,2.86
2020-09-05,3,3
2020-09-06,2,3
2020-09-07,3,3
