Date,Count, Average7 
2020-03-11,1,
2020-03-12,0,
2020-03-13,0,
2020-03-14,1,
2020-03-15,1,
2020-03-16,4,
2020-03-17,1,1.14
2020-03-18,3,1.43
2020-03-19,4,2.00
2020-03-20,8,3.14
2020-03-21,6,3.86
2020-03-22,8,4.86
2020-03-23,11,5.86
2020-03-24,11,7.29
2020-03-25,14,8.86
2020-03-26,15,10.43
2020-03-27,17,11.71
2020-03-28,18,13.43
2020-03-29,29,16.43
2020-03-30,23,18.14
2020-03-31,17,19.00
2020-04-01,26,20.71
2020-04-02,19,21.29
2020-04-03,27,22.71
2020-04-04,19,22.86
2020-04-05,23,22.00
2020-04-06,15,20.86
2020-04-07,15,20.57
2020-04-08,13,18.71
2020-04-09,12,17.71
2020-04-10,8,15.00
2020-04-11,9,13.57
2020-04-12,8,11.43
2020-04-13,8,10.43
2020-04-14,5,9.00
2020-04-15,6,8.00
2020-04-16,9,7.57
2020-04-17,6,7.29
2020-04-18,6,6.86
2020-04-19,8,6.86
2020-04-20,5,6.43
2020-04-21,5,6.43
2020-04-22,5,6.29
2020-04-23,7,6.00
2020-04-24,7,6.14
2020-04-25,1,5.43
2020-04-26,0,4.29
2020-04-27,1,3.71
2020-04-28,2,3.29
2020-04-29,7,3.57
2020-04-30,4,3.14
2020-05-01,5,2.86
2020-05-02,3,3.14
2020-05-03,2,3.43
2020-05-04,3,3.71
2020-05-05,2,3.71
2020-05-06,1,2.86
2020-05-07,0,2.29
2020-05-08,3,2.00
2020-05-09,1,1.71
2020-05-10,2,1.71
2020-05-11,1,1.43
2020-05-12,0,1.14
2020-05-13,0,1.00
2020-05-14,1,1.14
2020-05-15,2,1.00
2020-05-16,0,0.86
2020-05-17,1,0.71
2020-05-18,0,0.57
2020-05-19,1,0.71
2020-05-20,1,0.86
2020-05-21,0,0.71
2020-05-22,2,0.71
2020-05-23,0,0.71
2020-05-24,1,0.71
2020-05-25,1,0.86
2020-05-26,0,0.71
2020-05-27,0,0.57
2020-05-28,1,0.71
2020-05-29,1,0.57
2020-05-30,0,0.57
2020-05-31,0,0.43
2020-06-01,1,0.43
2020-06-02,1,0.57
2020-06-03,1,0.71
2020-06-04,0,0.57
2020-06-05,0,0.43
2020-06-06,0,0.43
2020-06-07,1,0.57
2020-06-08,0,0.43
2020-06-09,0,0.29
2020-06-10,0,0.14
2020-06-11,0,0.14
2020-06-12,1,0.29
2020-06-13,0,0.29
2020-06-14,0,0.14
2020-06-15,0,0.14
2020-06-16,0,0.14
2020-06-17,1,0.29
2020-06-18,0,0.29
2020-06-19,0,0.14
2020-06-20,0,0.14
2020-06-21,0,0.14
2020-06-22,0,0.14
2020-06-23,1,0.29
2020-06-24,0,0.14
2020-06-25,1,0.29
2020-06-26,0,0.29
2020-06-27,0,0.29
2020-06-28,0,0.29
2020-06-29,0,0.29
2020-06-30,0,0.14
2020-07-01,0,0.14
2020-07-02,1,0.14
2020-07-03,1,0.29
2020-07-04,0,0.29
2020-07-05,0,0.29
2020-07-06,0,0.29
2020-07-07,0,0.29
2020-07-08,2,0.57
2020-07-09,2,0.71
2020-07-10,0,0.57
2020-07-11,0,0.57
2020-07-12,0,0.57
2020-07-13,0,0.57
2020-07-14,0,0.57
2020-07-15,0,0.29
2020-07-16,0,0.00
2020-07-17,0,0.00
2020-07-18,0,0.00
2020-07-19,0,0.00
2020-07-20,1,0.14
2020-07-21,0,0.14
2020-07-22,0,0.14
2020-07-23,1,0.29
2020-07-24,0,0.29
2020-07-25,1,0.43
2020-07-26,0,0.43
2020-07-27,1,0.43
2020-07-28,0,0.43
2020-07-29,0,0.43
2020-07-30,1,0.43
2020-07-31,0,0.43
2020-08-01,0,0.29
2020-08-02,0,0.29
2020-08-03,0,0.14
2020-08-04,0,0.14
2020-08-05,0,0.14
2020-08-06,0,0.00
2020-08-07,0,0.00
2020-08-08,0,0.00
2020-08-09,0,0.00
2020-08-10,0,0.00
2020-08-11,0,0.00
2020-08-12,0,0.00
2020-08-13,1,0.14
2020-08-14,0,0.14
2020-08-15,1,0.29
2020-08-16,0,0.29
2020-08-17,0,0.29
2020-08-18,0,0.29
2020-08-19,0,0.29
2020-08-20,0,0.14
2020-08-21,0,0.14
2020-08-22,0,0.00
2020-08-23,0,0.00
2020-08-24,1,0.14
2020-08-25,0,0.14
2020-08-26,0,0.14
2020-08-27,0,0.14
2020-08-28,1,0.29
2020-08-29,0,0.29
2020-08-30,0,0.29
2020-08-31,1,0.29
2020-09-01,0,0.29
2020-09-02,1,0.43
2020-09-03,0,0.43
2020-09-04,0,0.29
2020-09-05,0,0.29
2020-09-06,1,0.43
2020-09-07,0,0.29
2020-09-08,1,0.43
2020-09-09,1,0.43
2020-09-10,1,0.57
2020-09-11,1,0.71
2020-09-12,1,0.86
2020-09-13,0,0.71
