Date,Count,CoronavirusHelpline
2020-02-13,3,36
2020-02-14,9,32
2020-02-15,8,14
2020-02-16,10,24
2020-02-17,6,41
2020-02-18,8,40
2020-02-19,7,16
2020-02-20,3,22
2020-02-21,3,12
2020-02-22,4,14
2020-02-23,16,16
2020-02-24,29,105
2020-02-25,123,573
2020-02-26,125,399
2020-02-27,96,359
2020-02-28,74,250
2020-02-29,113,99
2020-03-01,163,143
2020-03-02,133,584
2020-03-03,100,430
2020-03-04,82,484
2020-03-05,78,608
2020-03-06,93,581
2020-03-07,150,403
2020-03-08,122,346
2020-03-09,192,"1,503"
2020-03-10,170,"1,821"
2020-03-11,140,"1,998"
2020-03-12,169,"3,416"
2020-03-13,535,"3,303"
2020-03-14,"1,925","1,496"
2020-03-15,"2,193","1,798"
2020-03-16,"1,399","5,701"
2020-03-17,"1,150","6,772"
2020-03-18,912,"2,051"
2020-03-19,683,"1,694"
2020-03-20,807,"2,191"
2020-03-21,"1,511","1,247"
2020-03-22,"1,707","1,745"
2020-03-23,"1,773","6,892"
2020-03-24,"2,080","3,959"
2020-03-25,"1,940","3,030"
2020-03-26,"2,084","2,490"
2020-03-27,"1,732","2,015"
2020-03-28,"2,097",925
2020-03-29,"2,352",861
2020-03-30,"1,961","2,469"
2020-03-31,"2,125","1,415"
2020-04-01,"2,317","1,255"
2020-04-02,"2,298","1,233"
2020-04-03,"2,020","1,146"
2020-04-04,"2,140",538
2020-04-05,"2,236",464
2020-04-06,"2,236","1,246"
2020-04-07,"2,193",984
2020-04-08,"2,317",907
2020-04-09,"2,136",791
2020-04-10,"1,788",595
2020-04-11,"1,720",286
2020-04-12,"1,766",271
2020-04-13,"1,641",506
2020-04-14,"1,754",679
2020-04-15,"1,460",626
2020-04-16,"1,596",581
2020-04-17,"1,449",499
2020-04-18,"1,414",193
2020-04-19,"1,371",152
2020-04-20,"1,397",520
2020-04-21,"1,161",380
2020-04-22,"1,222",420
2020-04-23,"1,158",364
2020-04-24,"1,113",385
2020-04-25,"1,246",158
2020-04-26,"1,197",140
2020-04-27,"1,365",495
2020-04-28,"1,213",440
2020-04-29,"1,343",518
2020-04-30,"1,271",490
2020-05-01,"1,128",434
2020-05-02,"1,322",196
2020-05-03,"1,226",207
2020-05-04,"1,329",554
2020-05-05,"1,054",347
2020-05-06,978,304
2020-05-07,862,304
2020-05-08,875,273
2020-05-09,"1,083",141
2020-05-10,975,135
2020-05-11,977,349
2020-05-12,908,293
2020-05-13,850,302
2020-05-14,836,265
2020-05-15,687,247
2020-05-16,991,110
2020-05-17,942,111
2020-05-18,"1,199",359
2020-05-19,"1,098",248
2020-05-20,827,219
2020-05-21,828,274
2020-05-22,773,232
2020-05-23,850,89
2020-05-24,867,106
2020-05-25,796,214
2020-05-26,679,248
2020-05-27,647,264
2020-05-28,610,414
2020-05-29,545,447
2020-05-30,624,197
2020-05-31,646,194
2020-06-01,593,476
2020-06-02,628,393
2020-06-03,612,441
2020-06-04,651,390
2020-06-05,653,472
2020-06-06,775,273
2020-06-07,746,148
2020-06-08,684,490
2020-06-09,583,434
2020-06-10,557,466
2020-06-11,561,391
2020-06-12,550,375
2020-06-13,739,177
2020-06-14,754,167
2020-06-15,639,433
2020-06-16,553,369
2020-06-17,530,370
2020-06-18,484,328
2020-06-19,497,366
2020-06-20,643,170
2020-06-21,676,150
2020-06-22,585,562
2020-06-23,564,626
2020-06-24,527,610
2020-06-25,481,431
2020-06-26,536,410
2020-06-27,727,218
2020-06-28,613,206
2020-06-29,575,515
2020-06-30,478,396
2020-07-01,518,383
2020-07-02,457,401
2020-07-03,452,437
2020-07-04,618,191
2020-07-05,623,164
2020-07-06,481,438
2020-07-07,479,402
2020-07-08,427,389
2020-07-09,417,433
2020-07-10,383,365
2020-07-11,572,170
2020-07-12,528,133
2020-07-13,559,436
2020-07-14,478,361
2020-07-15,430,410
2020-07-16,477,394
2020-07-17,394,322
2020-07-18,602,197
2020-07-19,572,229
2020-07-20,603,426
2020-07-21,416,403
2020-07-22,406,514
2020-07-23,422,417
2020-07-24,394,341
2020-07-25,618,182
2020-07-26,559,176
2020-07-27,502,419
2020-07-28,440,375
2020-07-29,386,335
2020-07-30,470,397
2020-07-31,444,412
2020-08-01,620,194
2020-08-02,596,233
2020-08-03,564,455
2020-08-04,503,636
2020-08-05,575,778
2020-08-06,508,662
2020-08-07,465,480
2020-08-08,633,248
2020-08-09,602,198
2020-08-10,602,636
2020-08-11,560,524
2020-08-12,521,505
2020-08-13,506,496
2020-08-14,646,596
2020-08-15,736,382
2020-08-16,880,369
2020-08-17,"1,029","1,115"
2020-08-18,952,"1,025"
2020-08-19,"1,133","1,115"
2020-08-20,"1,328","1,610"
2020-08-21,"1,155","1,666"
2020-08-22,"1,270","1,120"
2020-08-23,"1,746","1,818"
2020-08-24,"2,032","7,827"
2020-08-25,"1,612","4,359"
2020-08-26,"1,442","2,784"
2020-08-27,"1,494","2,398"
2020-08-28,"1,084","1,551"
2020-08-29,"1,332",856
2020-08-30,"1,376",990
2020-08-31,"1,598","2,864"
2020-09-01,"1,416","2,425"
2020-09-02,"1,240","1,884"
2020-09-03,"1,102","1,575"
2020-09-04,968,"1,205"
2020-09-05,"1,038",672
2020-09-06,"1,070",789
2020-09-07,"1,123","1,917"
2020-09-08,"1,017","2,313"
2020-09-09,832,"1,660"
2020-09-10,735,"1,546"
2020-09-11,680,"1,227"
2020-09-12,808,702
2020-09-13,884,734
