date,count
2020-02-13,"3,352"
2020-02-14,"2,831"
2020-02-15,"1,747"
2020-02-16,"2,658"
2020-02-17,"3,662"
2020-02-18,"3,709"
2020-02-19,"2,640"
2020-02-20,"2,208"
2020-02-21,"1,333"
2020-02-22,633
2020-02-23,857
2020-02-24,"3,022"
2020-02-25,"10,456"
2020-02-26,"16,451"
2020-02-27,"17,544"
2020-02-28,"21,612"
2020-02-29,"10,970"
2020-03-01,"28,093"
2020-03-02,"54,766"
2020-03-03,"34,118"
2020-03-04,"29,991"
2020-03-05,"32,519"
2020-03-06,"27,587"
2020-03-07,"15,776"
2020-03-08,"16,489"
2020-03-09,"36,975"
2020-03-10,"45,359"
2020-03-11,"47,165"
2020-03-12,"76,312"
2020-03-13,"97,998"
2020-03-14,"74,638"
2020-03-15,"93,642"
2020-03-16,"157,854"
2020-03-17,"159,880"
2020-03-18,"130,354"
2020-03-19,"137,025"
2020-03-20,"145,891"
2020-03-21,"182,184"
2020-03-22,"276,096"
2020-03-23,"350,092"
2020-03-24,"202,991"
2020-03-25,"175,516"
2020-03-26,"151,447"
2020-03-27,"141,242"
2020-03-28,"128,736"
2020-03-29,"123,533"
2020-03-30,"151,594"
2020-03-31,"116,633"
2020-04-01,"108,747"
2020-04-02,"100,712"
2020-04-03,"107,962"
2020-04-04,"72,388"
2020-04-05,"67,998"
2020-04-06,"101,755"
2020-04-07,"91,582"
2020-04-08,"81,739"
2020-04-09,"77,319"
2020-04-10,"59,346"
2020-04-11,"47,814"
2020-04-12,"44,046"
2020-04-13,"61,692"
2020-04-14,"68,948"
2020-04-15,"59,685"
2020-04-16,"57,093"
2020-04-17,"56,237"
2020-04-18,"38,417"
2020-04-19,"37,381"
2020-04-20,"60,745"
2020-04-21,"53,227"
2020-04-22,"49,699"
2020-04-23,"46,484"
2020-04-24,"38,330"
2020-04-25,"25,811"
2020-04-26,"26,044"
2020-04-27,"38,821"
2020-04-28,"38,835"
2020-04-29,"48,177"
2020-04-30,"37,761"
2020-05-01,"33,583"
2020-05-02,"25,715"
2020-05-03,"26,402"
2020-05-04,"36,103"
2020-05-05,"38,260"
2020-05-06,"37,648"
2020-05-07,"38,996"
2020-05-08,"32,770"
2020-05-09,"34,948"
2020-05-10,"46,744"
2020-05-11,"58,990"
2020-05-12,"46,213"
2020-05-13,"42,971"
2020-05-14,"47,490"
2020-05-15,"39,365"
2020-05-16,"29,949"
2020-05-17,"35,896"
2020-05-18,"61,908"
2020-05-19,"47,942"
2020-05-20,"38,038"
2020-05-21,"45,958"
2020-05-22,"43,343"
2020-05-23,"30,203"
2020-05-24,"31,051"
2020-05-25,"37,529"
2020-05-26,"45,065"
2020-05-27,"56,874"
2020-05-28,"133,765"
2020-05-29,"65,604"
2020-05-30,"39,063"
2020-05-31,"41,705"
2020-06-01,"52,108"
2020-06-02,"46,074"
2020-06-03,"48,456"
2020-06-04,"105,604"
2020-06-05,"57,401"
2020-06-06,"34,917"
2020-06-07,"33,259"
2020-06-08,"65,942"
2020-06-09,"42,864"
2020-06-10,"43,730"
2020-06-11,"45,081"
2020-06-12,"33,136"
2020-06-13,"24,404"
2020-06-14,"24,105"
2020-06-15,"35,610"
2020-06-16,"34,457"
2020-06-17,"32,955"
2020-06-18,"40,032"
2020-06-19,"37,179"
2020-06-20,"24,125"
2020-06-21,"23,943"
2020-06-22,"38,627"
2020-06-23,"32,386"
2020-06-24,"27,229"
2020-06-25,"23,620"
2020-06-26,"22,515"
2020-06-27,"18,904"
2020-06-28,"20,128"
2020-06-29,"30,185"
2020-06-30,"22,486"
2020-07-01,"24,732"
2020-07-02,"28,321"
2020-07-03,"31,624"
2020-07-04,"21,386"
2020-07-05,"20,743"
2020-07-06,"34,671"
2020-07-07,"29,232"
2020-07-08,"34,858"
2020-07-09,"30,106"
2020-07-10,"27,018"
2020-07-11,"19,293"
2020-07-12,"20,404"
2020-07-13,"31,291"
2020-07-14,"31,068"
2020-07-15,"30,651"
2020-07-16,"28,830"
2020-07-17,"25,807"
2020-07-18,"20,102"
2020-07-19,"23,269"
2020-07-20,"31,882"
2020-07-21,"29,414"
2020-07-22,"30,516"
2020-07-23,"27,929"
2020-07-24,"23,333"
2020-07-25,"19,941"
2020-07-26,"20,774"
2020-07-27,"30,739"
2020-07-28,"27,835"
2020-07-29,"27,861"
2020-07-30,"31,195"
2020-07-31,"26,333"
2020-08-01,"20,887"
2020-08-02,"24,285"
2020-08-03,"33,595"
2020-08-04,"34,946"
2020-08-05,"37,328"
2020-08-06,"32,143"
2020-08-07,"27,634"
2020-08-08,"18,233"
2020-08-09,"19,571"
2020-08-10,"31,638"
2020-08-11,"28,851"
2020-08-12,"25,449"
2020-08-13,"27,772"
2020-08-14,"29,662"
2020-08-15,"20,175"
2020-08-16,"25,262"
2020-08-17,"39,060"
2020-08-18,"38,284"
2020-08-19,"40,003"
2020-08-20,"44,080"
2020-08-21,"44,270"
2020-08-22,"34,902"
2020-08-23,"47,673"
2020-08-24,"91,451"
2020-08-25,"76,441"
2020-08-26,"60,045"
2020-08-27,"58,988"
2020-08-28,"43,095"
2020-08-29,"32,013"
2020-08-30,"38,232"
2020-08-31,"62,178"
2020-09-01,"55,288"
2020-09-02,"51,621"
2020-09-03,"47,212"
2020-09-04,"38,281"
2020-09-05,"28,532"
2020-09-06,"33,531"
2020-09-07,"53,264"
2020-09-08,"53,836"
2020-09-09,"51,011"
2020-09-10,"107,737"
2020-09-11,"75,169"
2020-09-12,"50,669"
2020-09-13,"53,314"
