sex,age_group, number ,  rate  
Male,0-4,"1,102",787.24
Male,5-14,410,134.96
Male,15-44,"4,052",395.92
Male,45-64,"6,626",912.20
Male,65-74,"4,007",1447.62
Male,75-84,"3,923",2655.45
Male,85+,"1,980",4410.49
Male,Unknown,,
Male,All,"22,100",829.89
Female,0-4,806,611.84
Female,5-14,311,107.17
Female,15-44,"4,835",469.58
Female,45-64,"6,499",839.68
Female,65-74,"3,722",1234.49
Female,75-84,"4,143",2168.84
Female,85+,"2,907",3536.75
Female,Unknown,,
Female,All,"23,223",829.30
Unknown,0-4,111,
Unknown,5-14,19,
Unknown,15-44,440,
Unknown,45-64,272,
Unknown,65-74,125,
Unknown,75-84,106,
Unknown,85+,59,
Unknown,Unknown,"1,106",
Unknown,All,"2,238",
Total,0-4,"2,019",743.06
Total,5-14,740,124.58
Total,15-44,"9,327",454.29
Total,45-64,"13,397",892.92
Total,65-74,"7,854",1358.12
Total,75-84,"8,172",2412.34
Total,85+,"4,946",3891.82
Total,Unknown,"1,106",
Total,All,"47,561",870.55
